Var1,Var2,Var3
0.32,0.62,1
0.63,2.34,1
2.35,3.01,1
3.21,4.03,1
4.05,4.18,1
4.19,4.52,1
4.53,4.97,1
4.98,5.59,1
6.86,8.24,1
8.25,8.54,1
8.55,9.1,1
9.11,9.55,1
10.11,10.27,1
10.28,12.58,1
13.02,15.01,1
15.13,16.1,2
16.11,17.35,2
17.36,17.42,2
17.43,17.51,2
17.52,18.1,2
18.11,18.8,2
19.89,20.55,2
20.79,24.72,2
25.17,27,2
27.28,28.66,2
28.78,32,1
33.31,34.24,1
34.25,34.55,1
34.56,34.84,1
34.85,35.08,1
35.09,35.45,1
35.46,35.81,1
35.82,36,1
36.01,36.93,1
36.94,37.23,1
37.24,37.56,1
37.79,37.91,1
37.92,38.03,1
38.04,38.19,1
38.2,39.08,1
39.09,39.45,1
40.15,40.68,1
40.72,40.84,1
40.85,41.53,1
41.56,42.7,1
42.73,44,1
44.25,46.83,2
47.78,50.07,2
50.31,52.1,2
52.13,53,2
53.89,58.59,2
58.73,59.52,1
59.85,60.8,1
62.02,64.11,1
64.12,64.44,1
64.45,65.25,1
65.26,66.26,1
66.27,66.6,1
66.61,67.28,1
67.29,67.61,1
67.62,68.55,1
68.56,69.32,1
69.33,69.49,1
69.5,69.63,1
69.64,69.86,1
69.87,70.21,1
71.14,71.37,1
71.38,71.58,1
71.59,71.85,1
71.86,72.82,1
72.94,73.54,2
73.55,74.13,2
74.14,75.1,2
75.11,75.39,2
75.4,75.85,2
75.86,76.37,2
76.38,76.75,2
76.76,76.86,2
76.87,77.14,2
77.15,77.27,2
77.28,77.65,2
77.94,78.01,2
78.02,78.39,2
78.4,78.52,2
78.89,79.01,2
79.02,79.79,2
79.8,79.93,2
79.94,80.36,2
80.37,80.9,2
80.91,81.15,2
81.16,81.42,2
81.43,81.68,2
82.05,84.24,2
84.6,85.5,1
85.57,87.06,1
87.19,88.26,1
89.03,90.71,1
91.06,93.16,1
94.12,96.38,1
96.6,97.5,1
97.53,98.26,1
98.42,99.26,1
99.55,103.57,2
103.95,106.23,2
106.5,107.47,2
107.73,109.15,2
110.03,113.39,2
113.41,114.45,1
114.48,115.22,1
115.25,116.3,1
116.61,118.39,1
119.14,120.18,1
120.9,124.12,1
124.46,125.88,1
125.99,129.51,2
129.52,129.77,2
129.78,130.71,2
130.72,131.16,2
132.08,133.23,2
133.24,133.55,2
133.56,133.82,2
133.83,133.92,2
133.93,134.04,2
134.05,134.26,2
134.27,134.52,2
134.53,134.78,2
134.79,135.28,2
135.29,135.81,2
136.22,136.31,2
136.32,137.42,2
137.43,137.73,2
137.74,138.36,2
138.5,138.95,1
